document.id,topic.id,method,score
3651,4.656,exact-match,0.0
3651,4.772,exact-match,0.0
3651,4.522,exact-match,0.0
3651,4.226,exact-match,0.0
3651,4.175,exact-match,0.0
3651,4.536,exact-match,0.0
3651,4.433,exact-match,0.0
3651,4.407,exact-match,0.0
3651,4.68,exact-match,0.0
3651,4.207,exact-match,0.0
3651,4.571,exact-match,0.0
3651,4.306,exact-match,0.0
3651,4.99,exact-match,0.0
3651,4.393,exact-match,0.0
3651,4.699,exact-match,0.0
3651,4.400,exact-match,0.0
3651,4.629,exact-match,0.0
3651,4.9,exact-match,0.0
3651,4.684,exact-match,0.0
3651,4.338,exact-match,0.0
3651,4.632,exact-match,0.0
3651,4.285,exact-match,0.0
3651,4.563,exact-match,0.0
3651,4.432,exact-match,0.0
3651,4.638,exact-match,0.0
3651,4.470,exact-match,0.0
3651,4.623,exact-match,0.0
3651,4.439,exact-match,0.0
3651,4.22,exact-match,0.0
3651,4.731,exact-match,0.0
3651,4.53,exact-match,0.0
3651,4.613,exact-match,0.0
3661,4.814,exact-match,0.0
3661,4.9,exact-match,0.0
3661,4.613,exact-match,0.0
3661,4.590,exact-match,0.0
3661,4.784,exact-match,0.0
3661,4.306,exact-match,0.0
3661,4.338,exact-match,0.0
3661,4.226,exact-match,0.0
3661,4.235,exact-match,0.0
3661,4.400,exact-match,0.0
3661,4.731,exact-match,0.0
3661,4.236,exact-match,0.0
3661,4.791,exact-match,0.0
3661,4.800,exact-match,0.0
3661,4.274,exact-match,0.0
3661,4.180,exact-match,0.0
3661,4.789,exact-match,0.0
3661,4.571,exact-match,0.0
3661,4.542,exact-match,0.0
3661,4.533,exact-match,0.0
3661,4.255,exact-match,0.0
3661,4.439,exact-match,0.0
3661,4.259,exact-match,0.0
3661,4.99,exact-match,0.0
3661,4.559,exact-match,0.0
3661,4.237,exact-match,0.0
3661,4.263,exact-match,0.0
3661,4.433,exact-match,0.0
3661,4.437,exact-match,0.0
3661,4.531,exact-match,0.0
3661,4.499,exact-match,0.0
3661,4.736,exact-match,0.0
3661,4.782,exact-match,0.0
3661,4.687,exact-match,0.0
3661,4.522,exact-match,0.0
3661,4.438,exact-match,0.0
3661,4.98,exact-match,0.0
3661,4.630,exact-match,0.0
3661,4.815,exact-match,0.0
3661,4.96,exact-match,0.0
3661,4.764,exact-match,0.0
3661,4.611,exact-match,0.0
3661,4.310,exact-match,0.0
3661,4.393,exact-match,0.0
3661,4.311,exact-match,0.0
3661,4.254,exact-match,0.0
3661,4.250,exact-match,0.0
3661,4.699,exact-match,0.0
3661,4.258,exact-match,0.0
3661,4.12,exact-match,0.0
3671,4.161,exact-match,0.0
3671,4.198,exact-match,0.0
3671,4.772,exact-match,0.0
3671,4.312,exact-match,0.0
3671,4.65,exact-match,0.0
3671,4.23,exact-match,0.0
3671,4.405,exact-match,0.0
3671,4.469,exact-match,0.0
3671,4.485,exact-match,0.0
3671,4.520,exact-match,0.0
3671,4.702,exact-match,0.0
3671,4.24,exact-match,0.0
3671,4.727,exact-match,0.0
